fecha,source,generado_at,linepack_tgs_dia_anterior,linepack_tgs_dia_actual,linepack_tgs_variacion,recepcion_sur_programada,recepcion_sur_realizada,recepcion_neuquina_programada,recepcion_neuquina_realizada,alerta_estado,alerta_motivo,pcs_san_martin,pcs_neuba_1,pcs_neuba_2,pcs_troncal,pcs_paralelo
2026-04-15,ETGS1776308400000.pdf,2026-04-16T10:19:10,225.81,220.03,-5.78,22.512,22.274,51.634,49.609,TGS -,Normal,9510,9978,10369,9395,9537
2026-04-16,ETGS1776394800000.pdf,2026-04-17T08:35:47,210.75,208.09,-2.67,22.174,22.307,51.12,50.983,TGS -,Normal,9506,10045,10484,9264,9496
2026-04-17,ETGS1776481200000.pdf,2026-04-18T08:21:50,216.68,216.02,-0.66,23.403,22.405,59.55,55.32,TGS -,Normal,9500,9846,10431,9230,9456
2026-04-18,ETGS1776567600000.pdf,2026-04-19T07:32:38,216.02,216.08,0.06,24.463,22.216,55.059,54.95,TGS -,Normal,9471,9873,10350,9227,9452
2026-04-19,ETGS1776654000000.pdf,2026-04-20T08:28:16,216.08,217.81,1.73,24.025,23.521,57.02,56.122,TGS -,Normal,9470,9835,10342,9216,9423
2026-04-20,ETGS1776740400000.pdf,2026-04-21T09:06:19,217.81,213.01,-4.81,25.513,24.563,54.731,55.585,TGS -,Normal,9506,9886,10454,9213,9390
2026-04-21,ETGS1776826800000.pdf,2026-04-22T08:32:42,213.01,210.26,-2.75,24.32,24.489,56.246,55.394,TGS -,Normal,9489,9898,10461,9118,9468
2026-04-22,ETGS1776913200000.pdf,2026-04-23T08:09:51,210.26,214.63,4.37,24.754,24.636,55.308,53.452,TGS -,Normal,9483,9966,10428,9659,9923
2026-04-23,ETGS1776999600000.pdf,2026-04-24T08:40:09,214.63,218.97,4.35,25.013,24.656,53.517,53.708,TGS -,Normal,9488,9961,10336,9642,9895
2026-04-24,ETGS1777086000000.pdf,2026-04-25T07:44:16,218.97,213.96,-5.01,24.714,24.821,52.372,54.07,TGS -,Normal,9589,10104,10357,9857,10031
2026-04-25,ETGS1777172400000.pdf,2026-04-26T08:37:46,213.96,212.08,-1.88,25.128,20.178,54.262,51.577,TGS -,Normal,9631,9906,10338,9687,9737
2026-04-26,ETGS1777258800000.pdf,2026-04-27T08:21:22,212.08,211.96,-0.12,24.879,25.519,56.376,55.661,TGS -,Normal,9645,10048,10498,9787,9954
2026-04-27,ETGS1777345200000.pdf,2026-04-28T09:26:03,211.96,208.76,-3.2,25.356,25.251,57.304,59.141,TGSA - Alerta Alerta por bajo linepack en el,,9620,9988,10411,9652,9675
2026-04-28,ETGS1777431600000.pdf,2026-04-29T08:24:04,208.76,208.16,-0.6,24.84,24.248,57.741,57.163,TGSA - Alerta Alerta por bajo linepack en el,,9635,9898,10419,9532,9579
2026-04-29,ETGS1777518000000.pdf,2026-04-30T08:34:52,208.16,204.96,-3.2,24.378,22.654,57.392,55.214,TGSA - Alerta,Por bajo linepack del sistema,9638,9959,10362,9476,9525
2026-04-30,ETGS1777604400000.pdf,2026-05-01T08:59:15,204.96,205.66,0.7,22.479,21.119,52.746,56.202,TGSA - Alerta,Por bajo linepack del sistema,9631,9845,10295,9403,9462
2026-05-01,ETGS1777690800000.pdf,2026-05-02T08:21:40,205.66,215.07,9.42,22.959,24.914,51.754,59.722,TGS -,Normal,9655,9863,10388,9396,9472
2026-05-02,ETGS1777777200000.pdf,2026-05-03T08:17:28,217.57,218.94,1.37,25.107,24.863,58.137,63.829,TGS -,Normal,9648,9955,10510,9333,9579
2026-05-03,ETGS1777863600000.pdf,2026-05-04T09:00:06,218.94,224.72,5.78,26.122,24.934,56.598,61.092,TGS -,Normal,9507,10047,10469,9277,9386
2026-05-04,ETGS1777950000000.pdf,2026-05-05T09:36:59,224.72,223.04,-1.69,26.875,25.204,55.591,58.876,TGS -,Normal,9481,10113,10485,9318,9434
2026-05-05,ETGS1778036400000.pdf,2026-05-06T07:20:42,223.04,225.59,2.55,25.643,25.415,54.8,57.289,TGS -,Normal,9521,10092,10441,9367,9499
2026-05-06,ETGS1778122800000.pdf,2026-05-07T07:59:31,225.59,232.47,6.89,25.621,25.359,55.435,59.645,TGS -,Normal,9525,9904,10383,9367,9499
2026-05-07,ETGS1778209200000.pdf,2026-05-08T09:14:50,232.47,232.79,0.32,25.763,25.275,54.95,58.087,TGS -,Normal,9521,9956,10437,9372,9456
2026-05-08,ETGS1778295600000.pdf,2026-05-09T08:12:31,232.79,228.64,-4.15,25.425,25.254,57.935,59.778,TGS -,Normal,9525,9984,10358,9318,9428
2026-05-09,ETGS1778382000000.pdf,2026-05-10T08:08:09,228.64,225.16,-3.48,25.459,25.189,58.475,60.262,TGS -,Normal,9527,10043,10469,9261,9386
2026-05-10,ETGS1778468400000.pdf,2026-05-11T09:06:42,225.16,223.88,-1.28,26.073,25.094,62.756,60.016,TGS -,Normal,9529,9984,10527,9346,9492
2026-05-11,ETGS1778554800000.pdf,2026-05-12T08:54:35,223.88,222.94,-0.94,25.784,25.134,60.319,60.019,TGS -,Normal,9511,10045,10537,9360,9500
2026-05-12,ETGS1778641200000.pdf,2026-05-13T08:23:00,222.94,223.0,0.06,25.624,25.27,60.435,62.015,TGS -,Normal,9534,9902,10432,9384,9506
2026-05-13,ETGS1778727600000.pdf,2026-05-14T09:32:35,223.0,221.29,-1.71,26.262,25.581,59.615,61.198,TGSA -,Normal,9528,9995,10480,9394,9508
2026-05-14,ETGS1778814000000.pdf,2026-05-15T09:16:09,221.29,221.09,-0.2,25.815,25.441,59.107,60.027,TGSA -,Normal,9517,9999,10362,9350,9420
2026-05-15,ETGS1778900400000.pdf,2026-05-16T09:05:56,221.09,221.88,0.79,26.151,25.374,58.523,60.136,TGSA -,Normal,9515,9987,10398,9357,9421
2026-05-16,ETGS1778986800000.pdf,2026-05-17T08:24:51,221.88,223.58,1.7,26.151,25.326,58.997,60.54,TGS -,Normal,9511,9976,10446,9386,9462
2026-05-17,ETGS1779073200000.pdf,2026-05-18T08:41:12,223.58,223.69,0.11,26.065,25.282,59.108,60.785,TGSA -,Normal,9523,9963,10351,9354,9414
2026-05-18,ETGS1779159600000.pdf,2026-05-19T09:32:52,223.69,220.59,-3.09,25.692,25.321,60.436,62.217,TGSA -,Normal,9519,9986,10365,9359,9414
2026-05-19,ETGS1779246000000.pdf,2026-05-20T08:39:42,220.59,218.19,-2.41,25.599,23.711,61.311,60.798,TGSA -,Normal,9521,9921,10468,9318,9437
2026-05-20,ETGS1779332400000.pdf,2026-05-21T08:58:22,218.19,212.35,-5.83,24.135,22.709,60.184,59.914,TGSA -,Normal,9516,10007,10345,9279,9412
2026-05-21,ETGS1779418800000.pdf,2026-05-22T08:33:52,212.35,211.41,-0.94,26.488,26.143,61.579,62.64,TGS - Alerta,,9527,10032,10413,9412,9510
2026-05-22,ETGS1779505200000.pdf,2026-05-23T08:24:23,211.41,214.64,3.23,26.628,26.12,61.31,62.784,TGSA - Alerta,Por bajo linepack en tramos finales.-,9504,10010,10399,9407,9475
2026-05-23,ETGS1779591600000.pdf,2026-05-24T08:17:06,214.64,218.66,4.02,26.638,25.923,61.519,63.143,TGSA - Alerta,Por bajo linepack en tramos finales,9512,9993,10358,9427,9511
2026-05-24,ETGS1779678000000.pdf,2026-05-25T08:47:36,218.66,220.0,1.34,25.998,23.219,60.842,63.582,TGSA - Alerta,Por bajo linepack en tramos finales.,9503,9980,10359,9417,9491
2026-05-25,ETGS1779764400000.pdf,2026-05-26T10:54:02,220.0,219.25,-0.75,24.823,23.125,60.553,62.424,TGSA - Alerta,Por bajo linepack en tramos finales,9705,10014,10403,9382,9510
2026-05-26,ETGS1779850800000.pdf,2026-05-27T08:17:33,219.25,216.32,-2.93,27.259,25.956,61.625,62.68,TGS - Alerta por bajo nivel de Linepack en Tramos,,9618,9982,10355,9359,9452
2026-05-27,ETGS1779937200000.pdf,2026-05-28T08:40:56,216.32,216.94,0.62,26.471,26.101,61.405,61.974,TGSA - Alerta,Por bajo linepack en tramos finales,9704,10024,10450,9421,9523
2026-05-28,ETGS1780023600000.pdf,2026-05-29T08:45:16,216.94,218.22,1.28,25.71,26.076,61.216,63.828,TGSA - Alerta,Por bajo linepack en tramos finales,9736,10007,10389,9416,9512
2026-05-29,ETGS1780110000000.pdf,2026-05-30T08:19:18,218.22,217.5,-0.72,23.277,22.337,61.235,62.197,TGS - Alerta,,9723,10056,10481,9426,9539
2026-05-30,ETGS1780196400000.pdf,2026-05-31T08:21:01,217.5,217.82,0.32,22.582,22.03,61.345,62.411,TGSA - Alerta,Por bajo linepack en tramos finales,9720,10026,10476,9402,9524
2026-05-31,ETGS1780282800000.pdf,2026-06-01T08:00:09,217.82,219.56,1.75,21.371,21.419,60.703,62.848,TGS -,Normal,9722,10003,10462,9410,9524
2026-06-01,ETGS1780369200000.pdf,2026-06-02T08:19:08,219.56,220.68,1.11,21.481,21.308,61.703,63.081,TGS -,Normal,9729,10018,10437,9371,9498
2026-06-02,ETGS1780455600000.pdf,2026-06-03T08:37:52,220.68,219.98,-0.7,21.827,20.856,60.924,62.455,TGSA -,Normal,9707,10030,10448,9388,9499
2026-06-04,ETGS1780628400000.pdf,2026-06-05T08:11:47,223.98,224.94,0.96,25.336,25.282,61.451,60.601,TGSA -,Normal,9722,10037,10456,9420,9521
